customer_id,customer_name,gender,past_3_years_bike_related_purchases,dob,age,age_group,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,customer_title,state
87,Bryce,Male,78,27142,46.508187,50,Editor,Financial Services,Mass Customer,N,No,8,Recent Customer,NSW
88,Merideth,Female,41,24141,54.73010481,60,Help Desk Operator,Property,High Net Worth,N,Yes,7,High Risk Customer,NSW
89,Nova,Male,74,24494,53.76298152,60,Speech Pathologist,Health,Mass Customer,N,Yes,14,Platinum Customer,NSW
90,Granville,Male,76,30998,35.94380344,40,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11,Potential Customer,NSW
91,Arielle,Male,69,20144,65.68078974,70,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17,Platinum Customer,NSW
92,Shona,Female,98,29475,40.11640618,50,Recruiting Manager,Health,Mass Customer,N,No,12,Late Bloomer,VIC
93,Aleta,Male,63,27957,44.27531029,50,Project Manager,Retail,Mass Customer,N,Yes,10,Almost Lost Customer,VIC
94,Jenni,Male,33,27248,46.21777604,50,Civil Engineer,Manufacturing,Mass Customer,N,No,21,Potential Customer,NSW
95,Cuc,Female,67,22275,59.84243358,60,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8,Potential Customer,VIC
96,Danica,Male,33,25081,52.15476234,60,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15,High Risk Customer,NSW
97,Shaquana,Male,16,29063,41.2451733,50,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10,Almost Lost Customer,NSW
98,Brinda,Female,19,20531,64.62051577,70,Safety Technician IV,Health,Mass Customer,N,No,7,Evasive Customer,NSW
99,Janell,Male,97,35959,22.35202262,30,VP Accounting,Financial Services,Mass Customer,N,No,3,Platinum Customer,NSW
100,Enid,Male,80,24969,52.46161166,60,General Manager,Financial Services,Mass Customer,N,Yes,4,Recent Customer,NSW
101,Desire,Male,83,27757,44.82325549,50,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11,Becoming Loyal,NSW
102,Brian,Male,51,20786,63.92188563,70,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16,Potential Customer,NSW
103,Kristeen,Female,49,35541,23.4972281,30,Product Engineer,Financial Services,Affluent Customer,N,Yes,4,Evasive Customer,NSW
104,Gilda,Female,40,28647,42.38489933,50,Automation Specialist II,Health,Mass Customer,N,Yes,9,Losing Customer,QLD
105,Princess,Female,25,37151,19.08626919,20,Recruiting Manager,Manufacturing,Mass Customer,N,No,1,Evasive Customer,NSW
106,Earlie,Male,54,24291,54.3191459,60,Software Test Engineer III,Health,High Net Worth,N,Yes,18,Recent Customer,NSW
107,Fumiko,Female,97,33055,30.308187,40,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9,High Risk Customer,NSW
112,Sherie,Female,88,27618,45.20407741,50,Marketing Manager,Retail,High Net Worth,N,No,12,Losing Customer,VIC
114,Gricelda,Female,10,31343,34.99859796,40,Teacher,Entertainment,Affluent Customer,N,No,8,High Risk Customer,NSW
115,Serafina,Male,77,29941,38.83969385,40,Account Executive,Health,Mass Customer,N,No,18,Very Loyal,VIC
116,Sachiko,Male,49,36196,21.70270755,30,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2,Very Loyal,NSW
117,Jena,Female,75,30005,38.66435138,40,Marketing Manager,Manufacturing,Mass Customer,N,No,15,Platinum Customer,QLD
120,Shelby,Male,80,28735,42.14380344,50,Legal Assistant,Financial Services,High Net Worth,N,Yes,4,Lost Customer,NSW
121,Dinorah,Male,82,21095,63.07531029,70,Graphic Designer,Manufacturing,Mass Customer,N,No,15,Evasive Customer,NSW
122,Kiyoko,Male,87,28964,41.51640618,50,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12,Becoming Loyal,QLD
123,Danny,Female,85,32480,31.88352947,40,Analyst Programmer,Financial Services,High Net Worth,N,No,15,Evasive Customer,NSW
124,Nolan,Female,27,34822,25.46709111,30,Administrative Assistant II,Health,High Net Worth,N,Yes,5,Very Loyal,VIC
125,Lesli,Female,94,21992,60.61777604,70,Computer Systems Analyst II,Property,Mass Customer,N,No,16,Losing Customer,NSW
126,Donya,Male,53,33892,28.01503632,30,Administrative Officer,Health,Mass Customer,N,Yes,3,Recent Customer,QLD
127,Palma,Female,81,27366,45.89448837,50,Compensation Analyst,Financial Services,Mass Customer,N,No,19,Recent Customer,QLD
128,Kenny,Male,73,28323,43.27257056,50,Systems Administrator III,Property,Mass Customer,N,Yes,12,Evasive Customer,NSW
129,Kristen,Male,64,31248,35.25887193,40,Financial Advisor,Financial Services,High Net Worth,N,Yes,19,Evasive Customer,NSW
130,Karoline,Male,32,35629,23.25613221,30,Chemical Engineer,Manufacturing,Mass Customer,N,No,1,Almost Lost Customer,NSW
131,Alan,Female,57,23666,56.03147467,60,Administrative Officer,Retail,High Net Worth,N,No,8,Almost Lost Customer,QLD
132,Glenda,Female,5,23199,57.31092673,60,Web Designer I,Manufacturing,Mass Customer,N,Yes,9,Becoming Loyal,NSW
133,Alyson,Male,12,28289,43.36572125,50,VP Accounting,Financial Services,Mass Customer,N,Yes,16,Late Bloomer,QLD
134,Francis,Female,34,35643,23.21777604,30,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5,Very Loyal,NSW
135,Riley,Female,18,27412,45.76846097,50,Internal Auditor,IT,Mass Customer,N,No,3,Almost Lost Customer,VIC
136,Carmina,Male,46,26810,47.41777604,50,Senior Developer,Manufacturing,High Net Worth,N,Yes,7,Recent Customer,QLD
137,Alethia,Male,27,32102,32.9191459,40,Office Assistant II,Property,High Net Worth,N,No,10,Late Bloomer,NSW
138,Deborah,Male,5,31165,35.48626919,40,Recruiter,Financial Services,Affluent Customer,N,Yes,13,Losing Customer,NSW
139,Marvella,Male,1,23586,56.25065275,60,Operator,Telecommunications,Affluent Customer,N,No,4,Recent Customer,QLD
140,Sallie,Male,9,34474,26.42051577,30,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2,Becoming Loyal,VIC
141,Scottie,Male,67,19900,66.34928289,70,Teacher,Financial Services,High Net Worth,N,Yes,10,Lost Customer,NSW
142,Beatriz,Male,57,24691,53.22325549,60,Quality Engineer,Health,Affluent Customer,N,No,17,Very Loyal,VIC
143,Mason,Male,19,21064,63.16024179,70,Operator,Argiculture,Mass Customer,N,Yes,11,Becoming Loyal,QLD
145,Regenia,Male,33,35632,23.24791303,30,Account Executive,Financial Services,Mass Customer,N,No,4,Potential Customer,NSW
146,Necole,Male,34,31145,35.54106371,40,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8,Lost Customer,NSW
147,Samantha,Female,32,27004,46.88626919,50,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10,Potential Customer,NSW
149,Lida,Female,41,34730,25.7191459,30,Research Nurse,Health,Mass Customer,N,Yes,1,Potential Customer,QLD
150,Bette,Male,6,30551,37.16846097,40,Cost Accountant,Financial Services,Affluent Customer,N,No,17,High Risk Customer,NSW
151,Illa,Male,36,23773,55.73832399,60,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13,Platinum Customer,NSW
152,Magdalena,Female,5,29648,39.64243358,40,Compensation Analyst,Financial Services,Mass Customer,N,No,16,Lost Customer,NSW
153,Sol,Female,73,28334,43.24243358,50,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12,Losing Customer,NSW
155,Angelyn,Male,4,31409,34.81777604,40,Quality Engineer,Manufacturing,Mass Customer,N,No,10,Recent Customer,NSW
156,Lorie,Female,23,29107,41.12462536,50,Cost Accountant,Financial Services,Mass Customer,N,Yes,11,Becoming Loyal,VIC
157,Darlena,Male,97,27356,45.92188563,50,Financial Advisor,Financial Services,Affluent Customer,N,No,16,Evasive Customer,VIC
159,Ivory,Male,90,31909,33.44791303,40,Research Nurse,Health,Affluent Customer,N,No,13,Losing Customer,NSW
160,Keva,Male,5,23573,56.28626919,60,Registered Nurse,Health,Mass Customer,N,No,18,Lost Customer,NSW
162,Krystin,Male,90,29079,41.20133768,50,Nurse Practicioner,IT,Mass Customer,N,No,15,Lost Customer,NSW
163,Margarito,Female,58,28009,44.13284453,50,Librarian,Entertainment,High Net Worth,N,Yes,14,Lost Customer,VIC
164,Alanna,Female,55,36379,21.20133768,30,Senior Editor,Retail,Affluent Customer,N,Yes,1,Lost Customer,QLD
165,Alayna,Male,61,30766,36.57941988,40,Administrative Officer,Argiculture,Mass Customer,N,Yes,12,Platinum Customer,NSW
166,Deeann,Male,54,20252,65.38489933,70,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6,Losing Customer,QLD
169,Guy,Male,20,21112,63.02873495,70,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5,Almost Lost Customer,NSW
170,Ming,Male,80,27547,45.39859796,50,Pharmacist,Health,High Net Worth,N,No,21,Evasive Customer,VIC
171,Mickey,Female,62,25906,49.89448837,50,Assistant Manager,Manufacturing,Mass Customer,N,No,10,Recent Customer,NSW
172,Mellissa,Male,54,32398,32.108187,40,Editor,Manufacturing,Affluent Customer,N,Yes,6,Very Loyal,VIC
173,Lesia,Female,99,35432,23.79585823,30,General Manager,Health,Affluent Customer,N,No,1,Platinum Customer,NSW
174,Pauletta,Female,93,32838,30.90270755,40,Food Chemist,Health,Mass Customer,N,No,12,Platinum Customer,NSW
175,Solomon,Male,36,27726,44.908187,50,Quality Engineer,Manufacturing,Affluent Customer,N,No,5,High Risk Customer,VIC
176,Neville,Male,39,33707,28.52188563,30,Accountant I,Property,Mass Customer,N,No,10,Potential Customer,NSW
177,Vera,Female,25,32821,30.94928289,40,Professor,Financial Services,High Net Worth,N,No,4,Recent Customer,NSW
179,Lawerence,Male,23,24238,54.46435138,60,Environmental Tech,Manufacturing,High Net Worth,N,Yes,6,Late Bloomer,NSW
180,Cedrick,Female,16,26193,49.108187,50,Web Designer III,Argiculture,Affluent Customer,N,No,14,Very Loyal,QLD
181,Melinda,Female,49,30276,37.92188563,40,Senior Editor,Manufacturing,Mass Customer,N,No,9,High Risk Customer,VIC
182,Alma,Male,99,33928,27.91640618,30,Sales Associate,Financial Services,Affluent Customer,N,Yes,7,Very Loyal,QLD
183,Minerva,Female,7,35647,23.20681714,30,Geologist III,Retail,Affluent Customer,N,No,3,Almost Lost Customer,NSW
184,Nikki,Male,40,26280,48.86983084,50,Marketing Manager,Manufacturing,High Net Worth,N,Yes,7,Late Bloomer,NSW
186,Lore,Female,46,27155,46.47257056,50,Software Test Engineer I,Financial Services,Mass Customer,N,No,3,Potential Customer,QLD
188,Marlena,Female,54,27567,45.34380344,50,Safety Technician II,Property,High Net Worth,N,Yes,13,Becoming Loyal,NSW
189,Darius,Male,73,29786,39.26435138,40,Safety Technician I,Financial Services,Affluent Customer,N,No,10,Becoming Loyal,VIC
190,Sade,Female,42,28890,41.7191459,50,Registered Nurse,Health,Affluent Customer,N,No,10,Late Bloomer,NSW
192,Sybil,Female,2,28813,41.93010481,50,Junior Executive,Health,Mass Customer,N,Yes,8,High Risk Customer,VIC
193,Zoraida,Male,13,23580,56.26709111,60,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,12,Late Bloomer,QLD
194,Raina,Female,4,27349,45.94106371,50,Web Developer III,Financial Services,Affluent Customer,N,No,10,Lost Customer,QLD
195,Elsa,Female,34,21503,61.95750207,70,Project Manager,Manufacturing,Mass Customer,N,No,6,Very Loyal,VIC
196,Bernadine,Male,90,24160,54.67805001,60,Programmer Analyst II,Manufacturing,High Net Worth,N,No,6,Almost Lost Customer,NSW
198,Francie,Female,82,29919,38.89996782,40,Assistant Media Planner,Entertainment,Mass Customer,N,No,16,Late Bloomer,VIC
199,Mariana,Female,61,28534,42.69448837,50,Junior Executive,Health,Mass Customer,N,Yes,21,Becoming Loyal,NSW
200,Nakita,Male,7,20855,63.73284453,70,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,19,Platinum Customer,QLD
201,Aletha,Male,45,24217,54.52188563,60,Design Engineer,Manufacturing,Mass Customer,N,Yes,11,Recent Customer,NSW
202,Dwain,Female,38,23186,57.34654316,60,Librarian,Entertainment,Affluent Customer,N,Yes,16,Late Bloomer,QLD
203,Thea,Male,71,23389,56.79037878,60,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes,11,Becoming Loyal,NSW
204,Caleb,Male,56,28034,44.06435138,50,Editor,Financial Services,Mass Customer,N,No,5,Recent Customer,VIC
205,Sparkle,Male,18,21520,61.91092673,70,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,6,Losing Customer,VIC
208,Narcisa,Male,57,34638,25.9712007,30,Office Assistant III,Property,High Net Worth,N,No,5,Potential Customer,QLD
210,Sherwood,Male,50,23333,56.94380344,60,Assistant Manager,Property,Mass Customer,N,No,18,Potential Customer,VIC
211,Jeanice,Female,6,27092,46.6451733,50,VP Marketing,Manufacturing,Mass Customer,N,Yes,5,Recent Customer,NSW
212,Bert,Female,21,37214,18.91366645,20,Desktop Support Technician,IT,Affluent Customer,N,No,1,Lost Customer,QLD
213,Dorotha,Male,13,35199,24.4342144,30,Actuary,Financial Services,High Net Worth,N,Yes,6,Recent Customer,QLD
214,Anisha,Male,82,21153,62.91640618,70,Food Chemist,Health,Mass Customer,N,No,6,High Risk Customer,QLD
215,Rufus,Female,37,27204,46.33832399,50,Assistant Professor,Retail,High Net Worth,N,Yes,18,Very Loyal,QLD
216,Roslyn,Female,12,34711,25.7712007,30,Quality Engineer,Financial Services,High Net Worth,N,Yes,7,Becoming Loyal,NSW
218,Noelle,Female,37,34187,27.20681714,30,Administrative Officer,Property,High Net Worth,N,Yes,8,Becoming Loyal,NSW
219,Shanae,Male,9,23706,55.92188563,60,Database Administrator III,Health,Mass Customer,N,No,7,Potential Customer,NSW
220,William,Female,79,19854,66.47531029,70,Electrical Engineer,Manufacturing,High Net Worth,N,No,9,Very Loyal,VIC
221,Adolfo,Female,14,29290,40.62325549,50,Tax Accountant,Manufacturing,Mass Customer,N,No,14,Potential Customer,NSW
222,Xenia,Male,89,28736,42.14106371,50,Clinical Specialist,Health,Mass Customer,N,No,16,Late Bloomer,NSW
224,Brenton,Male,2,24809,52.89996782,60,Compensation Analyst,Financial Services,Affluent Customer,N,No,17,Very Loyal,NSW
225,Hal,Female,84,28195,43.62325549,50,Pharmacist,Health,Affluent Customer,N,No,13,Late Bloomer,NSW
226,Geraldine,Male,96,28440,42.95202262,50,Database Administrator IV,Manufacturing,Mass Customer,N,No,20,Lost Customer,NSW
227,Setsuko,Male,99,26890,47.19859796,50,Accountant I,Entertainment,Mass Customer,N,No,18,Potential Customer,NSW
228,Meghan,Female,59,31557,34.41229659,40,Systems Administrator II,Manufacturing,High Net Worth,N,No,12,High Risk Customer,NSW
230,Lavern,Female,74,19899,66.35202262,70,Internal Auditor,Property,High Net Worth,N,No,11,Recent Customer,NSW
231,Cyrus,Male,48,34916,25.20955686,30,Design Engineer,Financial Services,Mass Customer,N,Yes,3,High Risk Customer,NSW
232,Leeanne,Female,94,32092,32.94654316,40,Professor,Retail,Mass Customer,N,No,12,Almost Lost Customer,NSW
233,Nilda,Male,34,31632,34.20681714,40,Environmental Tech,Property,Mass Customer,N,No,13,Potential Customer,NSW
234,Marylee,Female,71,25427,51.20681714,60,Chief Design Engineer,Retail,High Net Worth,N,No,12,Platinum Customer,NSW
235,Gay,Female,30,28120,43.82873495,50,Social Worker,Health,Mass Customer,N,No,15,Platinum Customer,NSW
236,Janel,Male,79,20027,66.00133768,70,Research Nurse,Health,Affluent Customer,N,No,14,Becoming Loyal,VIC
237,Damaris,Male,18,27095,46.63695412,50,Account Coordinator,Property,High Net Worth,N,Yes,11,Recent Customer,NSW
239,Jeanine,Male,62,33951,27.85339248,30,Registered Nurse,Health,Affluent Customer,N,No,3,Platinum Customer,QLD
240,Wiley,Male,49,32717,31.2342144,40,Administrative Assistant III,IT,High Net Worth,N,Yes,15,Almost Lost Customer,NSW
241,Dian,Male,94,31906,33.45613221,40,Quality Engineer,Entertainment,Mass Customer,N,No,20,High Risk Customer,QLD
242,Brendan,Male,17,33683,28.58763905,30,Nurse,Property,Affluent Customer,N,No,8,Almost Lost Customer,NSW
243,Mana,Female,94,28005,44.14380344,50,Teacher,Manufacturing,High Net Worth,N,Yes,14,High Risk Customer,NSW
245,Flavia,Female,6,37160,19.06161166,20,Associate Professor,Financial Services,Affluent Customer,N,No,1,Becoming Loyal,VIC
246,Humberto,Female,63,33297,29.6451733,30,Technical Writer,Manufacturing,High Net Worth,N,No,9,Recent Customer,QLD
247,Ned,Female,62,30442,37.46709111,40,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13,Almost Lost Customer,NSW
248,Albertina,Female,76,28595,42.52736508,50,Clinical Specialist,Health,Affluent Customer,N,Yes,12,Almost Lost Customer,NSW
249,Rosia,Male,65,33860,28.10270755,30,Quality Control Specialist,IT,High Net Worth,N,No,9,Losing Customer,NSW
250,Kena,Male,53,32248,32.5191459,40,Legal Assistant,Health,Mass Customer,N,Yes,13,Potential Customer,NSW
251,Lolita,Female,88,28483,42.8342144,50,VP Sales,Financial Services,Affluent Customer,N,Yes,10,Late Bloomer,NSW
252,Genaro,Female,39,30340,37.74654316,40,Account Coordinator,Property,Mass Customer,N,Yes,13,High Risk Customer,NSW
253,Suzanna,Female,82,35561,23.44243358,30,Food Chemist,Health,Mass Customer,N,Yes,1,Late Bloomer,NSW
254,Candy,Female,98,22546,59.09996782,60,Information Systems Manager,Retail,Mass Customer,N,No,14,Potential Customer,VIC
255,Ozella,Female,2,19739,66.79037878,70,Desktop Support Technician,IT,Mass Customer,N,No,5,Late Bloomer,VIC
256,Leonel,Female,16,27521,45.46983084,50,Director of Sales,Health,High Net Worth,N,Yes,21,Becoming Loyal,NSW
257,Vannesa,Female,70,24146,54.71640618,60,Sales Associate,Manufacturing,Affluent Customer,N,Yes,19,Evasive Customer,NSW
258,Melonie,Female,24,33727,28.46709111,30,Administrative Officer,Manufacturing,High Net Worth,N,No,9,Late Bloomer,NSW
259,Dorine,Female,70,30519,37.25613221,40,Senior Developer,Health,High Net Worth,N,Yes,3,Late Bloomer,NSW
260,Bridget,Female,47,29097,41.15202262,50,Senior Quality Engineer,Health,High Net Worth,N,Yes,22,Very Loyal,QLD
263,Jacklyn,Female,89,31370,34.92462536,40,Dental Hygienist,Health,High Net Worth,N,No,7,Losing Customer,NSW
264,Felicita,Male,31,28466,42.88078974,50,Technical Writer,Health,Mass Customer,N,No,11,High Risk Customer,NSW
265,Herbert,Male,74,24020,55.06161166,60,Sales Representative,Retail,High Net Worth,N,Yes,18,High Risk Customer,VIC
266,Antonietta,Female,69,32708,31.25887193,40,Account Executive,Retail,Affluent Customer,N,No,18,Late Bloomer,NSW
268,Pennie,Female,60,28781,42.01777604,50,Chemical Engineer,Manufacturing,Mass Customer,N,No,10,High Risk Customer,NSW
269,Laree,Male,55,19986,66.11366645,70,Nurse Practicioner,Property,Mass Customer,N,Yes,9,Evasive Customer,VIC
271,Antonio,Female,51,33282,29.68626919,30,Financial Advisor,Financial Services,Mass Customer,N,No,4,Lost Customer,QLD
272,Steve,Female,22,31934,33.37941988,40,Product Engineer,Retail,Mass Customer,N,Yes,1,Almost Lost Customer,NSW
274,Nan,Female,66,28018,44.108187,50,Social Worker,Health,Mass Customer,N,Yes,14,Evasive Customer,VIC
275,Walter,Male,7,20297,65.26161166,70,VP Sales,Health,High Net Worth,N,No,13,Almost Lost Customer,NSW
279,Colby,Female,0,29838,39.12188563,40,Web Designer I,Manufacturing,Mass Customer,N,No,11,Becoming Loyal,NSW
281,Patrick,Female,51,26660,47.82873495,50,Cost Accountant,Financial Services,High Net Worth,N,Yes,8,Becoming Loyal,NSW
282,Hilary,Male,82,32808,30.98489933,40,VP Quality Control,Argiculture,High Net Worth,N,Yes,11,Almost Lost Customer,QLD
283,Elke,Female,34,33273,29.71092673,30,Assistant Manager,Retail,Mass Customer,N,No,2,Almost Lost Customer,QLD
284,Faustina,Male,38,31513,34.53284453,40,Financial Analyst,Financial Services,High Net Worth,N,Yes,9,Evasive Customer,NSW
285,Tara,Female,3,28448,42.93010481,50,Community Outreach Specialist,Manufacturing,Mass Customer,N,No,12,Becoming Loyal,NSW
286,Elva,Male,99,32721,31.22325549,40,Accounting Assistant II,Manufacturing,Affluent Customer,N,Yes,11,Evasive Customer,QLD
287,Opal,Female,41,31173,35.46435138,40,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,4,Lost Customer,NSW
289,Maryln,Female,43,25670,50.54106371,60,Clinical Specialist,Health,High Net Worth,N,No,10,Losing Customer,NSW
291,Katrina,Female,63,26228,49.01229659,50,Assistant Media Planner,Entertainment,Mass Customer,N,No,4,Late Bloomer,VIC
293,Stephane,Male,80,32852,30.86435138,40,Administrative Assistant III,Manufacturing,Mass Customer,N,Yes,20,Becoming Loyal,NSW
297,Christene,Female,33,21667,61.508187,70,Electrical Engineer,Manufacturing,High Net Worth,N,No,16,Becoming Loyal,VIC
